ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10366362,HY556503,12/31/2015 07:25:00 PM,001XX W 110TH PL,810,THEFT,OVER $500,RESIDENCE,false,false,513,5,34,49,6,1177312,1831679,2015,01/07/2016 16:14,41.69345505,-87.62644223,"(41.693455051, -87.626442234)"
10364552,HY556487,12/31/2015 07:20:00 PM,073XX S PHILLIPS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,334,3,7,43,14,1193921,1856701,2015,01/07/2016 16:14,41.76172759,-87.564816,"(41.761727593, -87.564815996)"
10368298,HZ104463,12/31/2015 07:15:00 PM,052XX W HARRISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1522,15,29,25,14,1141370,1896813,2015,01/15/2016 11:08:45 AM,41.87292812,-87.75643574,"(41.872928118, -87.756435739)"
10390678,HZ127771,12/31/2015 07:15:00 PM,090XX S ESCANABA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DRUG STORE,false,false,423,4,10,46,11,1196957,1845681,2015,01/28/2016 03:54:45 PM,41.73141291,-87.55405477,"(41.731412913, -87.554054765)"
10364760,HY556557,12/31/2015 07:10:00 PM,001XX N STATE ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,111,1,42,32,6,1176352,1900927,2015,01/07/2016 16:14,41.88350019,-87.6278767,"(41.883500187, -87.627876698)"
10364529,HY556499,12/31/2015 07:09:00 PM,017XX N MOZART ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1421,14,1,24,14,1157154,1911440,2015,01/07/2016 16:14,41.91276021,-87.6980873,"(41.912760209, -87.698087302)"
10364565,HY556477,12/31/2015 07:01:00 PM,089XX S COMMERCIAL AVE,810,THEFT,OVER $500,SMALL RETAIL STORE,false,false,424,4,10,46,6,1197695,1846304,2015,01/07/2016 16:14,41.73310411,-87.55133052,"(41.733104108, -87.551330517)"
10365063,HZ100452,12/31/2015 07:00:00 PM,027XX S KILDARE AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1031,10,22,30,5,1148169,1885351,2015,02/23/2016 03:50:44 PM,41.84134685,-87.73176799,"(41.841346847, -87.731767987)"
10364579,HY556506,12/31/2015 07:00:00 PM,020XX W CHICAGO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1221,12,1,24,6,1162692,1905336,2015,01/15/2016 11:08:45 AM,41.89589602,-87.67791339,"(41.895896023, -87.677913394)"
10365225,HZ100823,12/31/2015 07:00:00 PM,029XX W FULLERTON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1414,14,35,22,7,1156270,1915811,2015,01/07/2016 16:14,41.9247725,-87.70121655,"(41.924772504, -87.701216548)"
10364553,HY556508,12/31/2015 07:00:00 PM,007XX E 79TH ST,820,THEFT,$500 AND UNDER,STREET,false,false,624,6,6,44,6,1182501,1852786,2015,01/07/2016 16:14,41.75125678,-87.60679212,"(41.751256776, -87.606792121)"
10364548,HY556518,12/31/2015 07:00:00 PM,0000X N MICHIGAN AVE,890,THEFT,FROM BUILDING,RESTAURANT,false,false,112,1,42,32,6,1177309,1900530,2015,01/07/2016 16:14,41.88238916,-87.62437461,"(41.882389156, -87.624374606)"
10365140,HZ100693,12/31/2015 07:00:00 PM,028XX N OAKLEY AVE,810,THEFT,OVER $500,STREET,false,false,1432,14,1,21,6,1160535,1918584,2015,01/07/2016 16:14,41.93229446,-87.68546805,"(41.932294457, -87.685468046)"
10365930,HZ101743,12/31/2015 07:00:00 PM,065XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,312,3,20,69,14,1180044,1861789,2015,01/07/2016 16:14,41.77601854,-87.61552043,"(41.776018543, -87.615520426)"
10370656,HZ106636,12/31/2015 07:00:00 PM,082XX S INGLESIDE AVE,460,BATTERY,SIMPLE,APARTMENT,false,false,631,6,8,44,08B,1183997,1850617,2015,01/15/2016 11:08:45 AM,41.74527002,-87.60137769,"(41.745270017, -87.601377692)"
10365058,HZ100313,12/31/2015 07:00:00 PM,062XX W BELMONT AVE,610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,1633,16,36,17,5,1134341,1920618,2015,01/07/2016 16:14,41.93837878,-87.78168088,"(41.93837878, -87.781680875)"
10365773,HZ101414,12/31/2015 07:00:00 PM,008XX W 103RD ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,false,false,2232,22,34,73,26,1172339,1836539,2015,01/07/2016 16:14,41.70690219,-87.64450714,"(41.706902188, -87.644507138)"
10364554,HY556513,12/31/2015 06:49:00 PM,061XX W CORNELIA AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,STREET,true,false,1633,16,38,17,17,1134916,1922636,2015,01/07/2016 16:14,41.94390622,-87.77951967,"(41.943906217, -87.779519668)"
